Date [mm/dd/yyyy], Time [HH:MM:SS.ZZ], Latitude [deg], Longitude [deg],Altitude [m]
11/12/2023,00:00.0,1.3324,103.7748,4
11/12/2023,15:30.4,1.3332,103.7742,7
11/12/2023,30:15.2,1.3318,103.7755,1
11/12/2023,45:45.8,1.3305,103.7735,1
11/12/2023,00:22.9,1.334,103.773,4
11/12/2023,15:10.1,1.3327,103.7758,7
11/12/2023,30:05.5,1.3309,103.7765,10
11/12/2023,45:40.8,1.3335,103.772,13
11/12/2023,00:18.2,1.3348,103.775,10
11/12/2023,15:55.4,1.3312,103.7742,7
11/12/2023,30:30.6,1.3329,103.7735,4
11/12/2023,45:12.1,1.3315,103.7758,7
11/12/2023,00:05.4,1.3338,103.7755,1
11/12/2023,15:50.6,1.3302,103.772,1
11/12/2023,30:28.0,1.3345,103.7748,4
11/12/2023,45:45.3,1.332,103.7765,7
11/12/2023,00:22.8,1.3307,103.773,10
11/12/2023,15:55.9,1.3342,103.7742,13
11/12/2023,30:40.2,1.3318,103.775,10
11/12/2023,45:35.5,1.3331,103.772,7
11/12/2023,00:10.8,1.3305,103.7765,4
11/12/2023,15:48.3,1.334,103.7735,7
11/12/2023,30:25.4,1.3327,103.7758,1
11/12/2023,45:20.6,1.331,103.7748,1
11/12/2023,00:00.0,1.3335,103.7755,4
11/12/2023,15:30.5,1.3342,103.773,7
11/12/2023,30:15.2,1.3315,103.7742,10
11/12/2023,45:45.8,1.3328,103.7765,13
11/12/2023,00:22.9,1.331,103.7758,10
11/12/2023,15:10.2,1.3325,103.7735,7
11/12/2023,30:05.5,1.3302,103.775,4
11/12/2023,45:40.8,1.334,103.7748,7
11/12/2023,00:18.2,1.3327,103.772,1
11/12/2023,15:55.4,1.3309,103.7765,1
11/12/2023,30:30.7,1.3335,103.773,4
11/12/2023,45:12.1,1.3348,103.7755,7
11/12/2023,00:05.4,1.3312,103.7758,10
11/12/2023,15:50.6,1.3329,103.7742,13
11/12/2023,30:28.1,1.3305,103.772,10
11/12/2023,45:45.3,1.3345,103.775,7
11/12/2023,00:22.8,1.332,103.7735,4
11/12/2023,15:55.9,1.3307,103.7748,7
11/12/2023,30:40.2,1.3342,103.7765,1
11/12/2023,45:35.5,1.3318,103.773,1
11/12/2023,00:10.8,1.3331,103.7758,4
11/12/2023,15:48.3,1.3305,103.7755,7
11/12/2023,30:25.4,1.334,103.772,10
11/12/2023,45:20.7,1.3327,103.7742,13
11/12/2023,00:00.0,1.331,103.7765,10
11/12/2023,15:30.5,1.3335,103.7735,7
11/12/2023,30:15.2,1.3312,103.775,4
11/12/2023,45:45.8,1.3328,103.772,7
11/12/2023,00:22.9,1.3315,103.7755,1
11/12/2023,15:10.2,1.3325,103.7765,1
11/12/2023,30:05.5,1.3302,103.7748,4
11/12/2023,45:40.8,1.334,103.773,7
11/13/2023,00:18.3,1.3327,103.772,10
11/13/2023,15:55.4,1.3309,103.7758,13
11/13/2023,30:30.7,1.3335,103.7765,10
11/13/2023,45:12.1,1.3348,103.7755,7
11/13/2023,00:05.4,1.3312,103.7758,4
11/13/2023,15:50.6,1.3329,103.7742,7
11/13/2023,30:28.1,1.3305,103.772,1
11/13/2023,45:45.3,1.3345,103.775,1
11/13/2023,00:22.8,1.332,103.7735,4
11/13/2023,15:55.9,1.3307,103.7748,7
11/13/2023,30:40.1,1.3342,103.7765,10
11/13/2023,45:35.5,1.3318,103.773,13
11/13/2023,00:10.8,1.3331,103.7758,10
11/13/2023,15:48.3,1.3305,103.7755,7
11/13/2023,30:25.4,1.334,103.772,4
11/13/2023,45:20.7,1.3327,103.7742,7
11/13/2023,00:00.0,1.331,103.7765,1
11/13/2023,15:30.4,1.3335,103.7735,1
11/13/2023,30:15.2,1.3312,103.775,4
11/13/2023,45:45.7,1.3328,103.772,7
11/13/2023,00:22.9,1.3315,103.7755,10
11/13/2023,15:10.1,1.3325,103.7765,13
11/13/2023,30:05.5,1.3302,103.7748,10
11/13/2023,45:40.8,1.334,103.773,7
11/13/2023,00:18.2,1.3327,103.772,4
11/13/2023,15:55.4,1.3309,103.7758,7
11/13/2023,30:30.6,1.3335,103.7765,1
11/13/2023,45:12.1,1.3348,103.7755,1
11/13/2023,00:05.4,1.3312,103.7758,4
11/13/2023,15:50.6,1.3329,103.7742,7
11/13/2023,30:28.0,1.3305,103.772,10
11/13/2023,45:45.3,1.3345,103.775,13
11/13/2023,00:22.8,1.332,103.7735,10
11/13/2023,15:55.9,1.3307,103.7748,7
11/13/2023,30:40.1,1.3342,103.7765,4
11/13/2023,45:35.5,1.3318,103.773,7
11/13/2023,00:10.8,1.3331,103.7758,1
11/13/2023,15:48.2,1.3305,103.7755,1
11/13/2023,30:25.4,1.334,103.772,4
11/13/2023,45:20.6,1.3327,103.7742,7
11/13/2023,00:00.0,1.331,103.7765,10
11/13/2023,15:30.4,1.3335,103.7735,13
11/13/2023,30:15.2,1.3312,103.775,10
11/13/2023,45:45.8,1.3328,103.772,7
11/13/2023,00:22.9,1.3315,103.7755,4
11/13/2023,15:10.1,1.3325,103.7765,7
11/13/2023,30:05.5,1.3302,103.7748,1
11/13/2023,45:40.8,1.334,103.773,1
11/13/2023,00:18.2,1.3327,103.772,4
11/13/2023,15:55.4,1.3309,103.7758,7
11/13/2023,30:30.6,1.3335,103.773,10
